目標,進捗率,メモ
1. スクリプトVMの値の流れを確定する,94,9D4D/9D91/9E10/9DE5/A5AF と queue/09 token の二段ディスパッチまで接続。
2. 89:9A44 -> 82:FD67 系を確定する,74,schema と field extractor はかなり固いが、selector0/producer blob の全実例は未完。
3. 7E:201E..2030 と 7E:3004..303C の正体を確定する,46,中間構造体までは見えたが、各メンバ定義は未完。
4. 81:8D87 の戻り4値の意味を確定する,30,状態タプルらしさは見えたが本体未解読。
5. 店・施設UIのレコード構造を確定する,48,共通UI状態機械は進んだが店本線の価格/購入判定は未捕捉。
6. 道具表・装備表を実用レベルでダンプする,69,schema基準で base 修正、CSV 出力済み。内部フラグ辞書が未完。
7. 武器特殊能力サブシステムの整理,18,独立系として存在は掴んだが本格解析未着手。
8. 条件分岐ディスパッチ系の確定,52,0x41A10..0x41AC0 が本命だが条件種別一覧までは未到達。
9. 会話・店・イベントスクリプトの仕様書を作る,37,opcode断片は増えたが体系書には未整理。
10. 文字コード・表示系の解読を実用化する,94,queue/value/type -> direct/family descriptor、DA:3800資材、compact family までかなり接続。
11. アイテム・装備・キャラ・会話の外部データ化,47,表・schema・descriptor・mini-traceを外部ファイル化済み。会話本文側は未整備。
12. 新桃全体の構造を人間が読める形で再構成する,60,bank85/89 主線が整理され、誤接続も修正できた。
13. NPC大量表示時の処理軽減ロジックを特定する,24,VRAM転送スケジューラは見えたが、NPC負荷制御本体は未到達。
