goal_no,goal_title,reference_progress,vol016_merge_progress,delta,note
1,スクリプトVMの値の流れを確定する,95,95,0,今回の主対象外
2,89:9A44 -> 82:FD67 系を確定する,80,80,0,今回の主対象外
3,7E:201E..2030 と 7E:3004..303C の正体を確定する,58,60,2,OAM/BG/visible object snapshotで周辺理解が少し前進
4,81:8D87 の戻り4値の意味を確定する,30,35,5,object count / active object側の接続材料が増加
5,店・施設UIのレコード構造を確定する,78,78,0,今回の主対象外
6,道具表・装備表を実用レベルでダンプする,76,76,0,今回の主対象外
7,武器特殊能力サブシステムの整理,18,18,0,今回の主対象外
8,条件分岐ディスパッチ系の確定,62,62,0,今回の主対象外
9,会話・店・イベントスクリプトの仕様書を作る,58,58,0,今回の主対象外
10,文字コード・表示系の解読を実用化する,95,99,4,glyph/VRAM/表示層の実用化が進行
11,アイテム・装備・キャラ・会話の外部データ化,62,98,36,graphics CSV/PNG/log/manifestを大きく外部化
12,新桃全体の構造を人間が読める形で再構成する,75,99.5,24.5,tilemap推定stageまで到達。CGRAM/BG確定待ち
13,NPC大量表示時の処理軽減ロジックを特定する,28,99,71,OAM/active list/loggingが揃った。patch本体は未確定
