goal_no,goal_name,progress_percent,thread_final_status
1,スクリプトVMの値の流れを確定する,96,据え置き。graphics本線では直接更新なし
2,89:9A44 -> 82:FD67 系を確定する,81,据え置き。field抽出理解の背景として参照
3,7E:201E..2030 / 7E:3004..303C の正体確定,61,表示中間構造体として引き続き重要
4,81:8D87 の戻り4値の意味確定,30,未進行
5,店・施設UIのレコード構造を確定する,79,今回の主対象外
6,道具表・装備表を実用レベルでダンプする,82,表データ同梱
7,武器特殊能力サブシステムの整理,45,別スレ成果を引き継ぎ。今回の主対象外
8,条件分岐ディスパッチ系の確定,65,据え置き
9,会話・店・イベントスクリプト仕様書を作る,63,据え置き
10,文字コード・表示系の解読を実用化する,95,graphics表示系の補助理解あり。本文抽出は未更新
11,アイテム・装備・キャラ・会話の外部データ化,68,mapchip catalog化で今後伸びる
12,新桃全体の構造を人間が読める形で再構成する,79,field/battle graphicsとmapchip復元導線を追加
13,NPC大量表示時の処理軽減ロジック特定,98,試作パッチ可能。正式化にはAF33/B100/B294/OAM budget検証が必要
