goal_no,goal_title,latest_merged_value,diff_pack_value,delta,note
1,スクリプトVMの値の流れを確定する,95,95,0,このスレッド主対象外。別スレッド担当
2,89:9A44 -> 82:FD67 系を確定する,80,80,0,このスレッド主対象外
3,7E:201E..2030 と 7E:3004..303C の正体を確定する,61,64,3,OAM/BG/VRAM/runtime bridge schemaとbattle/field分離で表示中間構造の見方が進展
4,81:8D87 の戻り4値の意味を確定する,35,35,0,このスレッド主対象外
5,店・施設UIのレコード構造を確定する,78,78,0,このスレッド主対象外
6,道具表・装備表を実用レベルでダンプする,76,76,0,このスレッド主対象外
7,武器特殊能力サブシステムの整理,96,96,0,別スレッド統合値を維持
8,条件分岐ディスパッチ系の確定,75,75,0,別スレッド担当
9,会話・店・イベントスクリプトの仕様書を作る,70,70,0,別スレッド担当
10,文字コード・表示系の解読を実用化する,97,97,0,このスレッドではglyph候補のみ補助。正式値は維持
11,アイテム・装備・キャラ・会話の外部データ化,80,81,1,graphics外部化schemaとrun2 CSV/PNG成果を追加
12,新桃全体の構造を人間が読める形で再構成する,82,83,1,field=tilemap型 / battle=CHR+OAM型の分離により全体構造が明確化
13,NPC大量表示時の処理軽減ロジックを特定する,75,75,0,正式値は維持。このスレッドはruntime観測基盤のみ担当
GFX,graphics/mapchip reconstruction,60,68,8,run2実成果+run3-run10実装仕様を差分化。次はsprite cluster PNG生成
