id,topic,older_claim,current_canonical_interpretation,status,follow_up
C001,$0759/$0799 semantics,global pointer/visibility/wait semantics were assigned in different threads,handler-dependent overlay columns; bank89 $0799 bit7 is a transient object-script state latch and bank87 uses differ,old global claims superseded,keep handler-qualified names only
C002,controller pool vs visible object pool,64-slot counts encouraged treating them as one pool,$0619..$0A18 controller/work SoA and AF33 visible-object pool are separate layers connected by explicit handles in some handlers,superseded,prove more controller-handle mappings
C003,398xx reader,dedicated 9-byte row reader was hunted,398xx rows are best treated as macro grouping of normal VM instructions; target VM core is already known at 89:87A2/87BD/87CF/87D4,superseded,decode high-op family instead
C004,41A10 reader terminology,selector matcher and target script reader were both called 41A10 reader,selector-table matcher remains unknown while target VM reader is known,superseded,use selector-matcher vs target-VM-reader terms
C005,41A10 flat table,160 records were sometimes treated as one uniform table,current evidence shows selector block A 0..97 then 32-byte grammar break then selector-like block B from 102,partially superseded,map all section boundaries/descriptors
C006,0x39993 target,record107 was promoted as a 41A10 target under flat parsing,latest segmented interpretation says it must not be promoted solely from old flat-record indexing,unconfirmed,re-evaluate within block B grammar
C007,0x300D3 -> 88:9A05,strong bridge to 41A10 matcher was implied,canonical ROM confirms byte occurrence but descriptor-wide scan shows +3..+5 is not a universal pointer field,weak clue only,find consumer before promotion
C008,Goal12/GFX 100%,graphics thread used 100% completion wording,this meant local pipeline/spec completion; complete game rebuild and complete sprite corpus are not 100%,scope corrected,retain as historical thread-local milestone
C009,Goal13 98-100%,older one-way visibility model marked near complete,$0799 semantics revalidation reopened part of model; active-list/OAM path remains strong,current 96% workstream,complete controller-state to OAM bridge
C010,VM/event configuration-only for Goal13,older model treated VM/event as upstream configuration only,bank89 object-script processing directly participates in $0799 state path,superseded,keep cross-layer model
C011,dialogue blocked on 41A10,old rolling notes made 41A10 a dialogue blocker,dialogue source reader is independent and already known,superseded,bulk-extract corpus now
C012,$12B2 as original dialogue text,early logging accumulated display staging values,source stream lives behind C9 reader and may expand dictionary/nested contexts,superseded,use source-pointer decoder
C013,progress percentages,old documents contain 18/30/58/100 values for same subjects,values were thread-local snapshots with scope drift,do not merge percentages without matching scope,use five-goal model plus current workstreams
C014,source_conflicts time model,26 files under source_conflicts differ from their current counterparts,quarantined historical alternative model; never canonical by default,open only for hypothesis recovery
C015,raw VRAM in Git,two 65536-byte vram.bin files remained tracked,violated current no-raw-dump policy and were removed on 2026-09-25,resolved,keep derived summaries only
C016,nested ZIP policy,README says nested ZIP files are not committed but 18 tracked ZIP paths remain,noncanonical historical packaging debt,open,verify expanded equivalents then remove in cleanup cycle
C017,address labels,older reports mix flat file offsets and legacy/mirrored CPU banks,use file offset plus LoROM-corrected CPU address and correction table,active normalization rule,annotate legacy references
