jp,token_or_rule,type,confidence,rom_count_for_core_pattern,first_offsets,note
桃太郎,02 A0,dict02,known,247,0x4528 0xf075 0x17002 0x1f3e4 0x2568e 0x256bb 0x2581e 0x25b48 0x25b4c 0x25b50 0x276d7 0x2f76a,
桃太郎,18 00 18 01 18 02,kanji_seq,known,2,0x5df5c 0x702ef,
桃太郎さん?,02 A0 + さん,composition,component,247,0x4528 0xf075 0x17002 0x1f3e4 0x2568e 0x256bb 0x2581e 0x25b48 0x25b4c 0x25b50 0x276d7 0x2f76a,全文固定置換ではなく、部品token+direct文字列で合成候補にする。
銀次,18 50 18 51,kanji_seq,known,17,0x70ced 0x73ff7 0x7482d 0x7487c 0x80944 0x80962 0x81c89 0x81cd8 0xa5712 0xa92f4 0xa931b 0xa933f,
銀次の,18 50 18 51 A8,phrase,rom_exact,1,0x80962,
銀次は,18 50 18 51 A9,phrase,rom_exact,2,0x73ff7 0x81cd8,
銀次のそうび,18 50 18 51 A8 9E 92 DF,phrase,not_found_exact,0,,完全一致は未検出。制御コード/辞書/reader分岐で分断されている可能性。部品候補で扱う。
銀次は刀,18 50 18 51 A9 18 4C,phrase,not_found_exact,0,,完全一致は未検出。制御コード/辞書/reader分岐で分断されている可能性。部品候補で扱う。
刀,18 4C,kanji,known,33,0x4c3a5 0x58a7b 0x65323 0x65410 0x702a3 0x720d4 0x720d7 0x720e3 0x720ec 0x720f5 0x720fe 0x72107,
刀も,18 4C B2,phrase,not_found_exact,0,,完全一致は未検出。制御コード/辞書/reader分岐で分断されている可能性。部品候補で扱う。
装備,18 1F 18 20,kanji_seq,known,12,0x1cfd1 0x1d115 0x1d19a 0x1d1c2 0x1d1eb 0x1d213 0x1ef38 0x1efb3 0x74277 0x788b2 0x788cd 0x82949,
そうび,9E 92 DF,kana,rom_exact,2,0x82719 0x82908,
そうびを,9E 92 DF BC,kana_phrase,not_found_exact,0,,完全一致は未検出。制御コード/辞書/reader分岐で分断されている可能性。部品候補で扱う。
できるよ,BE 96 B8 B5,kana_phrase,rom_exact,1,0x796e3,
たき火,9F 96 18 8F,mixed,rom_exact,1,0x8362c,
火,18 8F,kanji,known,38,0x6940 0xbf22 0x41da6 0x710c9 0x710cf 0x710d4 0x711a0 0x712b9 0x71366 0x714e9 0x715d1 0x71ae8,
おむすびころりん,94 B0 9C DF 99 BA B7 BD,kana_phrase,rom_exact,1,0x74587,
おむすび,94 B0 9C DF,kana_phrase,rom_exact,4,0x1dd77 0x7452a 0x74587 0x994aa,
ころりん,99 BA B7 BD,kana_phrase,rom_exact,2,0x7458b 0x8b79a,
北,18 13,kanji,known,30,0x3e64 0x200d0 0x62414 0x81f42 0x91258 0x96379 0xa3d32 0xb460e 0xb4614 0xcadd9 0xcaddd 0xcc957,
西,18 11,kanji,known,57,0x101c1 0x500bd 0x5c5ab 0x8c7d4 0x941d8 0x96306 0x9819d 0xa5e86 0xc25f0 0xc7d3d 0xc8ac6 0xcadf3,
北西,18 13 18 11,phrase,not_found_exact,0,,完全一致は未検出。制御コード/辞書/reader分岐で分断されている可能性。部品候補で扱う。
穴,19 EB,kanji,known,17,0x2b8d2 0x2b8d9 0x75d7e 0x83931 0x85ad6 0x89ec8 0x90df1 0xb1346 0xde8d7 0xea16b 0xea175 0x102e25,
入れ,02 D7,dict02,strong_tentative,75,0x1330 0x2dd4 0x663a 0x66fe 0x31fe0 0x32051 0x82728 0x828bf 0x82a3b 0x82b0b 0x82c36 0x82fb1,
入れません,02 D7 + ません,composition,component,75,0x1330 0x2dd4 0x663a 0x66fe 0x31fe0 0x32051 0x82728 0x828bf 0x82a3b 0x82b0b 0x82c36 0x82fb1,全文固定置換ではなく、部品token+direct文字列で合成候補にする。
鬼,18 DB,kanji,known,314,0x1e0f0 0x2dada 0x3cba3 0x705cb 0x70602 0x707b0 0x70d09 0x7108a 0x7108f 0x71094 0x710a1 0x710a6,
鬼たいじ,18 DB 9F 91 D6,mixed_phrase,rom_exact,9,0x7e162 0x7fb87 0x82279 0x82298 0x84374 0x87dee 0x8cc6a 0x94b94 0x981f5,
体,18 15,kanji,known,222,0xcf52 0xd544 0x10168 0x143ff 0x1812a 0x18131 0x18181 0x181a4 0x181b4 0x2ef48 0x2f081 0x3ec78,
無理,18 F2 1A 31,kanji_seq,rom_exact,1,0x9e8c8,
行く,02 84,dict02,tentative,74,0x25fa 0x2d3a 0x3d42 0x3d66 0x4492 0x44b6 0x49ba 0x5c5c 0x5e2c 0xad58 0x15891 0x15c6b,
行く,19 BF 97,mixed,rom_exact,21,0x7bb87 0x7bfa9 0x7c767 0x7d788 0x7d7ae 0x7fd11 0x8056a 0x80d70 0x80ddb 0x81ed2 0x8496e 0x8b624,
行くのか,19 BF 97 A8 95,mixed_phrase,rom_exact,1,0x80ddb,
言,1A 1A,kanji,known,97,0xaf14 0x2d414 0x2e060 0x3b72e 0x4b3f4 0x4b452 0x4e525 0x5ab5a 0x5cfc5 0x60adf 0x74fdb 0x7aa15,
するな,9C B8 A4,kana_phrase,rom_exact,3,0x7f01d 0x8defd 0x8f9c3,
旅の人,02 9B,dict02,strong_tentative,25,0x15a6a 0x26e18 0x408bb 0x70c90 0x8b36d 0x8c7e9 0x8d296 0x9b301 0xa6f61 0xdfd44 0xe0d85 0xfc509,
