goal_no,goal_title,thread_declaration,merge_safe_value,delta_from_previous_safe,note
1,スクリプトVMの値の流れを確定する,95,95,0,このスレッド主対象外
2,89:9A44 -> 82:FD67 系を確定する,80,80,0,このスレッド主対象外
3,7E:201E..2030 と 7E:3004..303C の正体を確定する,74,65-74,+3〜+12,DMA/VRAM/OAM bridge材料増。正式値は別スレッド統合で調整
4,81:8D87 の戻り4値の意味を確定する,53,40-53,+3〜+16,sprite/entity材料増。本体未解読なら低め管理
5,店・施設UIのレコード構造を確定する,78,78,0,主対象外
6,道具表・装備表を実用レベルでダンプする,76,76,0,主対象外
7,武器特殊能力サブシステムの整理,18,18,0,このスレッド主対象外。別スレッド値があれば上書き
8,条件分岐ディスパッチ系の確定,62,62,0,主対象外
9,会話・店・イベントスクリプトの仕様書を作る,58,58,0,主対象外
10,文字コード・表示系の解読を実用化する,99,99,0,glyph/表示層は維持
11,アイテム・装備・キャラ・会話の外部データ化,98,98,0,外部化形式は維持。会話本文は別
12,新桃全体の構造を人間が読める形で再構成する,100,99.5-99.9,+0〜+0.4,このスレッド上はGoal12完了宣言候補。全scene検証後100確定推奨
13,NPC大量表示時の処理軽減ロジックを特定する,78,75,0,runtime観測材料のみ。patch未確定のため安全値75維持
GFX,graphics/mapchip reconstruction,100,90-99,+0〜+9,実ファイル成果+仕様。CGRAM/layer全scene検証で確定
