goal_no,goal,progress_percent,comment
1,スクリプトVMの値の流れを確定する,95,dispatcher/opcode02/pointer transfer理解は進展。LoROM補正必須
2,89:9A44 -> 82:FD67 系を確定する,80,過去成果維持。このスレでは主対象外
3,7E:201E..2030 と 7E:3004..303C の正体を確定する,60,object/path slot理解で微増
4,81:8D87 の戻り4値の意味を確定する,30,未着手
5,店・施設UIのレコード構造を確定する,78,0x39850は店よりobject/path寄りへ認識修正
6,道具表・装備表を実用レベルでダンプする,82,flag tripletクラスタ整理済み
7,武器特殊能力サブシステムの整理,18,未着手
8,条件分岐ディスパッチ系の確定,70,0x41A10 -> 0x39850/39993 -> slot3 blobが前進。reader未確定
9,会話・店・イベントスクリプト仕様書を作る,63,mode02/VM系前進。0x39850はobject/path寄りへ補正
10,文字コード・表示系の解読を実用化する,97,BD98 mode02復元、小文字かな確定寄り
11,アイテム・装備・キャラ・会話の外部データ化,70,CSV/ダンパ/会話出力が増加
12,新桃全体の構造を人間が読める形で再構成する,80,LoROM補正とobject/path系整理で前進
13,NPC大量表示時の処理軽減ロジックを特定する,42,object/path blob・0759/0799 pointer理解で前進
