goal_no,goal,baseline_after_merge,thread_diff_progress,delta,note
1,スクリプトVMの値の流れを確定する,95,95,維持,この差分ではbank89/queue主線は対象外。
2,89:9A44 -> 82:FD67 系を確定する,80,80,維持,対象外。
3,7E:201E..2030 と 7E:3004..303C の正体を確定する,60,60,維持,対象外。
4,81:8D87 の戻り4値の意味を確定する,35,35,維持,対象外。
5,店・施設UIのレコード構造を確定する,78,78,維持,対象外。
6,道具表・装備表を実用レベルでダンプする,76,76,維持,対象外。
7,武器特殊能力サブシステムの整理,96,96,維持,vol015成果は前回コミット済み。この差分では追加なし。
8,条件分岐ディスパッチ系の確定,75,79,+4,$0759/$0799の直接slot pointer仮説を補正し、0x39850系row末尾wordはその場で読むblob label寄りと再整理。
9,会話・店・イベントスクリプトの仕様書を作る,70,72,+2,$87:82C0 reader候補とF09A系blobをVM/mini-script候補として整理。ただし命令セット確定は未完。
10,文字コード・表示系の解読を実用化する,97,97,維持,対象外。
11,アイテム・装備・キャラ・会話の外部データ化,80,80,維持,この差分では解析資料外部化のみ。
12,新桃全体の構造を人間が読める形で再構成する,82,85,+3,static resource chain と runtime object slot chain を分離して整理。
13,NPC大量表示時の処理軽減ロジックを特定する,75,78,+3,観測基盤ではなく本体側。$0759/$0799はobject type依存の汎用slot fieldであり、active list/object type別に追う必要あり。
